"Decision by","Case number/name",Jurisdiction,"Date of decision","Relevant GDPR articles","Relevant EU laws","Relevant national/other laws","Type of decision & outcome",Fine,Parties,Contributor,Summary
"DPA: Garante per la protezione dei dati personali (Italy)",9960920,Italy,26.10.2023,"5(1)(a), 5(1)(b), 6, 13",,"Article 1122-ter Italian Civil Code
Article 157 Codice Privacy
Article 168 Codice Privacy","Complaint → Upheld","1000 EUR",,"Luca Brocca","The Italian DPA found Mr. XX, the administrator of XX Condominium, in violation of GDPR Articles 5 and 6 for unlawfully installing a video surveillance system without a required assembly resolution. The DPA imposed a €1,000 fine and a processing ban."
"DPA: Persónuvernd (Island)",2021091877,Iceland,14.12.2023,"6, 6(1)(f), 58(2)(f)",,,"Complaint → Upheld",,,co,"The Icelandic DPA ordered a controller to remove a post from a social media platform which constituted processing in violation of Article 6(1)(f) GDPR."
"DPA: AEPD (Spain)",PS/00375/2022,Spain,,"5(1)(b), 5(1)(f), 32",,,"Complaint → Upheld","70000 EUR",BBVA,jonasm,"The Spanish DPA fined a bank €70,000 for violating Articles 5(1)(b), 5(1)(f) and Article 32 GDPR because they disclosed a lawyer’s private address (who was at the same time a private customer) when contacting another customer who was represented by the mentioned lawyer."
"DPA: Garante per la protezione dei dati personali (Italy)",9909235,Italy,27.04.2023,"5(1)(a), 5(1)(b), 5(1)(c), 5(1)(e), 5(1)(f), 13",,,"Complaint → Upheld","40000 EUR",,'-,"The Italian DPA issued a fine against a controller in the amount of €40,000 because it accessed the email accounts of three of its former employees in violation of Article 5(1) GDPR and Article 13 GDPR."
"CJEU (Court of Justice of the European Union)","C-667/21 ZQ v Medical Service of Health Insurance North Rhine","European Union",21.12.2023,"5(1)(f), 6(1), 9(1), 9(2)(h), 9(3), 24, 32(1), 82(1)",,"Artikel 275 (1) Sozialgesetzbuch
Artikel 2758 (1) Sozialgesetzbuch",,,"ZQ
Medizinischer Dienst der Krankenversicherung Nordrhein, Körperschaft des öffentlichen Rechts",Lszabo,"The CJEU decided that non-material damages under Article 82 GDPR are limited to moneteray compensation, presuppose causation from the controller and do not take into account the fault of the controller when calculating the amount of compensation awarded for a non-material damage."
"DPA: APD/GBA (Belgium)",DOS-2023-04144,Belgium,27.11.2023,21(2),,,"Complaint → Upheld",,,'-,"The Belgian DPA issued a preliminary decision in which it ordered the controller to comply with a request of the complainant to delete data used for direct marketing communication, following the complainant's objection request pursuant to Article 21 GDPR."
"DPA: ANSPDCP (Romania)",07.12.2023,Romania,,"12(3), 12(4), 15(1), 32, 33(1)",,,"Complaint → Other Outcome","24000 EUR",,maxinescu,"Hora Credit IFN SA, a non-financial institution, was fined €24,000 following a data breach. The DPA found a violation of Article 32 GDPR, among others, since the institution sent documents containing the personal data of a client  to the wrongful recipient."
"Court: BVwG","W256 2234976-1 and W256 2234976-2",Austria,10.07.2023,"4(1), 4(2), 5, 6(1)(a), 6(1)(f)",,"§ 9(1) DSG",,,,maxbgr,"An Austrian Court upheld a decision of the Austrian DPA affirming that the publication of personal data without given consent on the controllers’ websites for advertising purposes was contrary to Article 6(1) GDPR."
"DPA: Persónuvernd (Island)",2022081290,Iceland,15.12.2023,"5(1), 6(1)(e), 6(3), 14",,,"Complaint → Partly Upheld",,,co,"The Icelandic DPA held that the National Police Commissioner, as a controller, was authorised under Article 6(1)(e) GDPR to carry out background checks on personal data of an applicant for a position as emergency operator. However, the controller failed to duly inform the applicant about the extent and purposes of processing."
"Court: OLG Köln","15 U 108/23",Germany,07.12.2023,82,,,,,,co,"The Higher Regional Court of Cologne confirmed the judgment of a lower court on appeal, reaffirming that the plaintiff could not prove that he suffered immaterial damages under Article 82 GDPR as a consequence of the 2019 Facebook data breach."
"Court: LAG Schleswig-Holstein","1 Sa 148/22",Germany,21.02.2023,"4(1), 15(1), 15(3), 17(1), 82(1)",,"§ 24 (1) (2) BDSG",,,,'-,"Linking anonymised public data to a data subject through a controller's extra knowledge qualifies as personal data processing."
"DPA: AEPD (Spain)",PS-00393-2022,Spain,,13,,"Article 22.2 LSSI","Complaint → Upheld","10000 EUR","INFINITY ECOM S.L",magdalena04,"The Spanish Data Protection Agency (AEPD) fined a controller €10,000 for the lack of information provided on their privacy policy which therefore breached Article 13 GDPR."
"DPA: DSB (Austria)",2021-0.119.956,Austria,22.02.2021,"5(1)(e), 9, 15(1), 15(2), 15(3), 51(1), 57(1)(f), 77(1)",,"§§1 DSG
§17a (2)(g) Wr. KAG
§18(1) DSG
§24(1)DSG
§24(5) DSG","Complaint → Partly Upheld",,"Corina A***
City of Vienna",'-,"The Austrian DPA ordered the controller to provide the data subject with the complete personal data of her medical history within a period of four weeks for a violation of Article 15 GDPR. As the controller withheld personal data from the data subject to which she had a right."
"DPA: Persónuvernd (Island)",2022050850,Iceland,21.12.2023,"6(1)(c), 9(2)(a), 9(2)(e), 13(4), 14(5)",,"Elections Act no. 112/2021","Complaint → Rejected",,,co,"The Icelandic DPA held that a law establishing that political parties' ombudsmen wear a badge indicating the party they represent during elections constituted lawful processing under Article 6(1)(c) GDPR and Article 9(2) GDPR."
"CJEU (Court of Justice of the European Union)","T‑384/20 OC v European Commission","European Union",04.05.2022,4(1),"Article 3(1) Regulation 2018/1725",,,,,sh,"The General Court ruled that a press release did not contain personal data because an 'average reader' would not be able to identify the data subject."
"DPA: AEPD (Spain)",PS-00563-2022,Spain,28.06.2023,"5(2), 13, 58(2)(d), 83(2), 83(5), 83(5)(b)","Recital 60 Regulation 2016/679",,"Investigation → Violation Found","2000 EUR","GAVANOVA DE IMMOBLES, S.L.
A.A.A.","Konrad Kontriner","The Spanish DPA fined a controller €2,000 for infringing Article 13 GDPR in their contract with a tenant."
"DPA: UODO (Poland)",DKE.561.20.2022,Poland,,"58(1)(a), 58(1)(e)",,,"Complaint → Other Outcome",,,sh,"The Polish DPA fined a controller €6,000 for non-compliance with a DPA's requests to respond to a data subject's complaint."
"DPA: Garante per la protezione dei dati personali (Italy)",9819792,Italy,,"5(1)(a), 5(1)(b), 5(1)(c), 5(1)(f), 9(2)(a), 9(2)(i), 25, 32",,,"Complaint → Upheld","40000 EUR","Azienda Usl Valle d‘Aosta",elena.st02,"€40,000 fine for the health authority „Azienda Usl Valle d‘Aosta“ for removing privacy filters during the Covid-19 pandemic that restricted access to the system managing the health records."
"DPA: Tietosuojavaltuutetun toimisto (Finland)",5546/163/2019,Finland,19.08.2022,"9(1), 32(1), 32(2), 58(2)(b)",,,"Investigation → Violation Found",,,fred,"The Finnish DPA reprimanded a healthcare provider for not implementing appropriate technical and organisational measures to ensure the security of personal data processing in the electronic healthcare appointment booking system."
"DPA: AEPD (Spain)",PS-00507-2022,Spain,,"4(1), 6(1), 57(1), 58, 83(2), 83(5)",C-511/11,"LOPDGDD 3/2018
LPACAP 39/2015","Complaint → Upheld","70000 EUR",,Marie,"The Spanish DPA fined a telecom company (the controller) €70,000 for issuing a duplicated SIM and provided it to a third party, without the data subjects's consent under Article 6 GDPR."
"DPA: Garante per la protezione dei dati personali (Italy)",9964761,Italy,26.10.2023,"5(1)(a), 5(2), 6(1)(a), 7, 12, 13, 14, 24",,"Article 130 of the Italian Privacy Code","Complaint → Upheld","10000 EUR","A.C. Group S.r.l.s.",ar,"The Italian DPA fined a controller €10,000 for carrying out an unsolicited telemarketing call to the complainant, registered to the Italian Public Opt-out Registry. The DPA found a systematic lack of GDPR compliance, including Articles 5, 6, 13 and 14 GDPR."
"CJEU (Court of Justice of the European Union)","C-231/22 Belgian State (Données traitées par un journal officiel)","European Union",11.01.2024,"4(7), 5(2), 17(1), 26(1)",,,,,"LM
Belgian State (Données traitées par un journal officiel)",sh,"The CJEU clarified that a controller, as defined by Article 4(7) GDPR, can be implicitly determined by national law. Implied controllership under national law also extends to the concept of joint controllers."
"DPA: Garante per la protezione dei dati personali (Italy)",9968111,Italy,16.11.2023,"12, 17","Par. 52-55 Guidelines 01/2022 on data subject rights - Right of access, Adopted on 28 March 2023
Par. 57 Guidelines 01/2022 on data subject rights - Right of access, Adopted on 28 March 2023","Articles 136-139 Codice Privacy","Complaint → Partly Upheld",,"Reti Televisive Italiane S.p.a.
Mediaset S.p.a.","Luca Brocca","A data subject filed a complaint against R.T.I. S.p.a. based on Article 17 GDPR for not removing from a video explicit content featuring her and then-Prime Minister Silvio Berlusconi during a 2013 public event."
"DPA: Persónuvernd (Island)",2023030483,Iceland,21.12.2023,"15(3), 32(1), 32(2)",,,"Complaint → Partly Upheld",,,co,"The Icelandic DPA held that a controller acted in violation of Article 32 GDPR by failing to locate all personal data requested by a data subject in the context of an access request under Article 15(3) GDPR."
"DPA: APD/GBA (Belgium)",DOS-2019-04346,Belgium,20.12.2023,"24, 32, 33",,,"Investigation → No Violation Found",,,ar,"The Belgian DPA investigated the controller’s practices following a data breach involving almost 90,000 data subjects. No violation was found since the data breach was an isolated incident and the controller complied with Article 33 GDPR."
"Court: VG Karlsruhe","7 K 2578/22",Germany,19.10.2023,"15(1), 15(3)",,,,,,co,"A German court held that test questions do not constitute personal data under the GDPR and thus shall not be included in a copy of the data provided to a data subject in the context of an access request under Article 15(3) GDPR."
"DPA: UODO (Poland)",DKN.5131.31.2022,Poland,,"5(1), 5(2), 25(1)",,,Other,"5400 EUR",,sh,"The Polish DPA fined the Disciplinary Ombudsman of the Polish Bar Association €5,400 for failing to conduct an appropriate risk analysis, resulting in the loss of a flashdrive containing personal data."
"DPA: Persónuvernd (Island)","Mál nr. 2021091751",Iceland,14.12.2023,17,,,"Complaint → Rejected",,,sh,"The Icelandic DPA rejected a complaint about the Icelandic police allegedly failing to delete personal data on their own initiative."
"DPA: AEPD (Spain)",PD-00207-2022,Spain,15.11.2024,"12, 15, 15(3), 17, 31, 39, 55, 56(2), 57(1)(f)",,"Article 12 LOPDGDD
Article 13 LOPDGDD
Article 37 LOPDGDD
Article 47 LOPDGDD
Article 48(6) LOPDGDD
Article 50 LOPDGDD
Article 64(1) LOPDGDD
Article 64(2) LOPDGDD
Article 65(4) LOPDGDD","Complaint → Rejected",,"WORKING CAPITAL MANAGEMENT ESPAÑA",isabela.rosal.santos,"Spanish DPA dismisses the complaint of a data subject since the data controller did respond to the access and erasure request. The existence of an outstanding debt with the controller justifies the processing of the personal data."
"DPA: AEPD (Spain)",PS-00587-2021,Spain,30.09.2022,"4, 5(1)(f), 5(2), 9(1), 24, 25, 32, 57(1), 58(2), 83(4), 83(5), 83(7)",,"Article 28(1) LOPDGDD
Article 4 Law 41/2002
Article 47 LOPDGDD
Article 48(1) LOPDGDD
Article 63(2) LOPDGDD
Article 65(4) LOPDGDD
Article 71 LOPDGDD
Article 72 LOPDGDD
Article 73 LOPDGDD
Article 77 LOPDGDD","Complaint → Upheld",,"Consejeria de Sanidad de la Comunidad de Madrid",isabela.maria.rosal,"Spanish DPA held a controller responsible for a data breach since they did not have sufficient measures in place to avoid data breaches. Although some measures were applied, they did not provide an adequate level of protection for sensitive data."
"DPA: IP (Slovenia)",07100-15-2023-1,Slovenia,29.11.2023,15,,"Article 12 ZVOP-2
Article 14 ZVOP-2","Complaint → Partly Upheld",,,ar,"The controller, a Slovenian Ministry, was found to have infringed Article 15 GDPR in conjunction with Articles 12 and 14 of the Slovenian Data Protection Act since, at the time of the data subject's complaint with the Slovenian DPA, it did not fully comply with the complainant’s access request."
"DPA: Garante per la protezione dei dati personali (Italy)",9967845,Italy,16.11.2023,"5(1)(a), 5(1)(c)",,"Article 137 Codice Privacy
Article 6 Regole deontologiche relative al trattamento di dati personali nell’esercizio dell’attività giornalistica
Article 7 Regole deontologiche relative al trattamento di dati personali nell’esercizio dell’attività giornalistica","Complaint → Upheld",,"Editoriale Argo S.r.l.","Luca Brocca","The Italian DPA upheld a data subject's complaint against Editoriale Argo S.r.l.. The controller was found to have disclosed in a newspaper article excessive personal data of the data subject, contrary to the principle of data minimisation."
